Millis,Front,Left,Right,EncL,EncR
341642,319,1774,2580,48785,48280
341697,318,2006,2587,48785,48280
341753,320,2181,2602,48785,48276
341808,323,2487,2651,48785,48270
341863,321,2593,2674,48785,48270
341919,319,2578,2673,48785,48270
341974,306,2635,2688,48817,48270
342030,293,2698,2757,48909,48309
342085,318,2685,2829,49067,48413
342140,342,2638,2816,49331,48614
342196,391,2594,2873,49647,48901
342251,465,2623,2852,50004,49250
342307,585,2577,2821,50402,49619
342362,738,2565,2802,50751,49982
342418,902,869,2690,51005,50288
342473,1128,788,2511,51171,50476
342528,1276,803,2436,51243,50611
342584,1330,698,2283,51273,50689
342639,1327,694,2195,51279,50691
342695,1333,742,2216,51279,50690
342750,1341,779,2246,51279,50690
342805,1357,781,2220,51279,50690
342861,1327,736,2215,51279,50690
342916,1350,772,2239,51279,50690
342972,1341,753,2229,51279,50690
343027,1326,767,2235,51279,50690
343083,1355,773,2218,51279,50690
343138,1335,773,2243,51279,50690
343193,1341,753,2247,51279,50690
343249,1330,722,2210,51279,50712
343304,1340,695,2148,51279,50731
343360,1330,713,2124,51279,50756
343415,1317,723,2063,51279,50790
343470,1187,1090,1910,51247,50834
343526,1124,1551,1867,51213,50882
343581,963,1735,1963,51179,50938
343637,819,2181,1694,51141,50994
343692,666,2469,1969,51121,51033
343747,652,2629,1985,51121,51040
343803,661,2610,2010,51121,51040
343858,661,2636,1971,51121,51040
343914,663,2640,2002,51123,51039
343969,634,2641,2009,51117,51045
344025,538,2751,2031,51104,51086
344080,512,2846,2068,51101,51146
344135,587,2937,2148,51098,51204
344191,738,2628,2128,51071,51254
344246,172,2285,2126,51015,51284
344302,270,1644,2048,50973,51286
344357,267,1597,2053,50969,51286
344412,272,1601,2054,50969,51286
344468,278,1605,2061,50969,51286
344523,267,1625,2021,50969,51286
344579,270,1603,2058,50969,51286
344634,256,1612,2039,50969,51286
344689,291,1616,2053,50969,51286
344745,268,1598,2024,50969,51286
344800,265,1602,2029,50969,51286
344856,271,1600,2031,50969,51286
344911,282,1636,2051,50969,51286
344967,268,1604,2026,50969,51286
345022,295,1600,2030,50969,51287
345077,275,1609,2045,50985,51286
345133,202,1814,2095,51055,51303
345188,487,2218,2074,51116,51322
345244,682,2591,2124,51203,51410
345299,731,3292,2289,51351,51589
345354,305,3164,2404,51520,51877
345410,314,3133,2482,51762,52228
345465,441,3138,2678,52061,52595
345521,519,3144,2680,52381,52971
345576,592,3100,2657,52684,53319
345632,684,3210,2487,52977,53656
345687,834,1039,2352,53248,53949
345742,1078,693,2288,53481,54183
345798,1314,777,2235,53675,54366
345853,1642,743,2234,53793,54503
345909,1782,719,2172,53836,54549
345964,1855,723,2176,53843,54552
346019,1829,712,2160,53843,54552
346075,1782,691,2168,53831,54552
346130,1781,721,2153,53829,54552
346186,1784,720,2148,53829,54552
346241,1790,724,2142,53829,54552
346296,1785,724,2131,53829,54552
346352,1760,719,2123,53829,54552
346407,1792,705,2159,53829,54552
346463,1784,722,2128,53829,54552
346518,1780,715,2168,53829,54552
346574,1786,716,2145,53829,54552
346629,1780,696,2151,53829,54552
346684,1810,717,2117,53829,54552
346740,1776,720,2140,53829,54552
346795,1783,697,2153,53829,54554
346851,1797,739,2152,53829,54554
346906,1788,688,2139,53829,54554
346961,1782,720,2127,53829,54554
347017,1781,718,2122,53829,54554
347072,1760,700,2163,53829,54553
347128,1779,696,2149,53829,54555
347183,1811,694,2124,53829,54564
347238,1806,670,2101,53829,54572
347294,1798,679,2116,53829,54574
347349,1780,616,2097,53829,54592
347405,1737,570,2053,53810,54617
347460,1634,617,1945,53783,54655
347516,1458,1147,2018,53742,54698
347571,1257,1330,1814,53693,54748
347626,1102,1575,2033,53669,54787
347682,1077,1825,2171,53667,54798
347737,1120,1846,2186,53667,54798
347793,1100,1818,2174,53667,54798
347848,1077,1819,2166,53667,54798
347903,1004,1845,2194,53643,54802
347959,906,1938,2246,53609,54823
348014,734,2319,2255,53569,54860
348070,607,2528,2285,53535,54915
348125,416,2774,2339,53511,54971
348180,384,3203,2343,53505,55006
348236,391,3170,2324,53505,55009
348291,389,3174,2336,53505,55009
348347,366,3183,2308,53505,55009
348402,398,3184,2316,53505,55009
348458,369,3175,2334,53505,55009
