time_ms,front,left,right,enc_l,enc_r,pwm_l,pwm_r,action
9860,1764,2020,1105,0,0,0,0,0
9880,1735,2069,1195,0,0,0,0,0
9900,1722,2052,1204,0,0,0,0,0
9920,1651,2052,1329,0,0,0,0,0
9940,1623,2069,1345,0,0,0,0,0
9960,1573,2218,1428,0,0,0,0,0
10001,1571,2223,1428,0,0,0,0,0
10021,1473,2361,1501,0,0,0,0,0
10041,1377,2495,1606,0,0,0,0,0
10061,1307,2501,1609,0,0,0,0,0
10081,1259,2591,1615,0,0,0,0,0
10101,1235,2594,1672,0,0,0,0,0
10121,1161,2704,1677,0,0,0,0,0
10141,1139,2708,1794,0,0,0,0,0
10161,1066,2772,1806,-1,0,0,0,0
10202,1015,2786,1856,-2,0,0,0,0
10222,957,2854,1860,0,0,0,0,0
10242,835,2868,1955,-1,0,0,0,0
10262,763,2874,2021,-1,0,0,0,0
10282,736,2906,2031,-1,0,0,0,0
10302,584,2912,2100,-1,0,0,0,0
10322,515,2916,2102,-1,0,0,0,0
10342,498,2915,2172,0,0,0,0,0
10362,490,2915,2180,-2,0,0,0,0
10403,463,2912,2236,-4,0,0,0,0
10423,421,2899,2238,-2,0,0,0,0
10443,376,2882,2293,-2,0,0,0,0
10463,367,2870,2304,-2,0,0,0,0
10483,367,2868,2310,-3,0,0,0,0
10503,364,2868,2329,-2,0,0,0,0
10523,345,2868,2338,-3,0,0,0,0
10543,345,2868,2346,-3,0,0,0,0
10563,345,2867,2356,-4,0,0,0,0
10604,345,2867,2377,-7,0,0,0,0
10624,345,2867,2377,-4,0,0,0,0
10644,344,2867,2377,-4,0,0,0,0
10664,344,2867,2375,-4,0,0,0,0
10684,343,2870,2375,-4,0,0,0,0
10704,342,2875,2375,-5,0,0,0,0
10724,342,2875,2390,-4,0,0,0,0
10744,343,2875,2394,-5,0,0,0,0
10764,326,2853,2398,-4,0,0,0,0
10805,326,2849,2398,-10,0,0,0,0
10825,343,2849,2421,-4,0,0,0,0
10845,345,2847,2466,-5,0,0,0,0
10865,364,2847,2467,-5,0,0,0,0
10885,364,2851,2467,-5,0,0,0,0
10905,364,2852,2467,-5,0,0,0,0
10925,364,2852,2480,-5,0,0,0,0
10945,363,2852,2484,-5,0,0,0,0
10965,363,2814,2488,-4,0,0,0,0
11006,367,2814,2497,-10,0,0,0,0
11026,382,2814,2497,-4,0,0,0,0
11046,385,2820,2497,-4,0,0,0,0
11066,386,2821,2493,-5,0,0,0,0
11086,386,2821,2493,-5,0,0,0,0
11106,386,2820,2493,-5,0,0,0,0
11126,386,2821,2496,-6,0,0,0,0
11146,399,2822,2505,-5,0,0,0,0
11166,401,2823,2505,-6,0,0,0,0
11207,416,2828,2496,-11,0,0,0,0
11227,422,2839,2491,-5,0,0,0,0
11247,438,2850,2470,-6,0,0,0,0
11267,438,2850,2418,-5,0,0,0,0
11287,440,2871,2411,-6,0,0,0,0
11307,440,2886,2405,-6,0,0,0,0
11327,441,2916,2405,-6,0,0,0,0
11347,441,2917,2398,-6,0,0,0,0
11367,447,2955,2398,-6,0,0,0,0
11408,464,2960,2396,-13,0,0,0,0
11428,471,2963,2396,-6,0,0,0,0
11448,486,2960,2396,-6,0,0,0,0
11468,497,2960,2438,-6,0,0,0,0
11488,509,2956,2466,-7,0,0,0,0
11508,512,2912,2488,-6,0,0,0,0
11528,515,2906,2488,-6,0,0,0,0
11548,538,2906,2488,-6,0,0,0,0
11568,561,2900,2488,-6,0,0,0,0
11609,564,2900,2488,-13,0,0,0,0
11629,564,2925,2477,-5,0,0,0,0
11649,570,2938,2466,-5,0,0,0,0
11669,584,2956,2436,-5,0,0,0,0
11689,585,2956,2426,-4,0,0,0,0
11709,585,2964,2422,-5,0,0,0,0
11729,613,2991,2418,-4,0,0,0,0
11749,613,2995,2405,-4,0,0,0,0
11769,614,2999,2403,-3,0,0,0,0
11810,631,3045,2392,-9,0,0,0,0
11830,631,3045,2379,-4,0,0,0,0
11850,633,3066,2374,-4,0,0,0,0
11870,635,3087,2374,-5,0,0,0,0
11890,660,3091,2373,-4,0,0,0,0
11910,661,3191,2370,-4,0,0,0,0
11930,668,3192,2367,-4,0,0,0,0
11950,680,3343,2353,-4,0,0,0,0
11970,681,3343,2353,-4,0,0,0,0
12011,688,3343,2348,-9,0,0,0,0
12031,708,3001,2339,-4,0,0,0,0
12051,708,1814,2333,-4,0,0,0,0
12071,710,1799,2329,-4,0,0,0,0
12091,710,1191,2299,-4,0,0,0,0
12111,711,1177,2286,-4,0,0,0,0
12131,711,1018,2282,-4,0,0,0,0
12151,715,1015,2278,-4,0,0,0,0
12171,729,903,2274,-4,0,0,0,0
12212,733,890,2266,-8,0,0,0,0
12232,735,837,2265,-4,0,0,0,0
12252,770,769,2226,-5,0,0,0,0
12272,788,768,2220,-4,0,0,0,0
12292,788,732,2219,-5,0,0,0,0
12312,808,722,2215,-6,0,0,0,0
12332,811,675,2172,-5,0,0,0,0
12352,820,675,2170,-5,0,0,0,0
12372,836,675,2156,-5,0,0,0,0
12413,858,681,2152,-12,0,0,0,0
12433,866,747,2149,-5,0,0,0,0
12453,883,864,2126,-5,0,0,0,0
12473,886,872,2081,-7,0,0,0,0
12493,903,1064,2071,-6,0,0,0,0
12513,934,1072,2053,-5,0,0,0,0
12533,935,1309,2052,-5,0,0,0,0
12553,935,1316,1994,-5,0,0,0,0
12573,938,1319,1985,-5,0,0,0,0
12614,939,1407,1940,-10,0,0,0,0
12634,960,1408,1931,-4,0,0,0,0
12654,977,1478,1911,-5,0,0,0,0
12674,977,1498,1884,-4,0,0,0,0
12694,977,1503,1864,-5,0,0,0,0
12714,977,1503,1798,-5,0,0,0,0
12734,980,1503,1798,-6,0,0,0,0
12754,980,1504,1792,-5,0,0,0,0
12774,980,1504,1772,-5,0,0,0,0
12815,982,1572,1728,-10,0,0,0,0
12835,982,1578,1723,-5,0,0,0,0
12855,966,1665,1666,-5,0,0,0,0
12875,963,1725,1666,-4,0,0,0,0
12895,963,1728,1666,-4,0,0,0,0
12915,961,1746,1750,-5,0,0,0,0
12935,961,1750,1753,-4,0,0,0,0
